province,year,poverty_rate,unemployment_rate,population,gdp_per_capita
Aceh,2020,14.99,6.59,5274900,31633
"Sumatera Utara",2020,8.75,6.91,14799400,54979
"Sumatera Barat",2020,6.28,6.88,5534500,43826
Riau,2020,6.82,6.32,6394100,114167
Jambi,2020,7.58,5.13,3548200,57958
"Sumatera Selatan",2020,12.66,5.51,8467400,53843
Bengkulu,2020,15.03,4.07,2010700,36552
Lampung,2020,12.34,4.67,9007800,39290
"Kepulauan Bangka Belitung",2020,4.53,5.25,1455700,52023
"Kepulauan Riau",2020,5.92,10.34,2064600,123465
"DKI Jakarta",2020,4.53,10.95,10562100,262615
"Jawa Barat",2020,7.88,10.46,48274200,43237
"Jawa Tengah",2020,11.41,6.48,36516000,36965
"DI Yogyakarta",2020,12.28,4.57,3668700,37694
"Jawa Timur",2020,11.09,5.84,40665700,56641
Banten,2020,5.92,10.64,11904600,52729
Bali,2020,3.78,5.63,4317400,52015
"Nusa Tenggara Barat",2020,13.97,4.22,5320100,25184
"Nusa Tenggara Timur",2020,20.9,4.28,5325600,20057
"Kalimantan Barat",2020,7.17,5.81,5414400,39622
"Kalimantan Tengah",2020,4.82,4.58,2670000,57145
"Kalimantan Selatan",2020,4.38,4.74,4073600,44101
"Kalimantan Timur",2020,6.1,6.87,3766000,161799
"Kalimantan Utara",2020,6.8,4.97,701800,143533
"Sulawesi Utara",2020,7.62,7.37,2621900,50521
"Sulawesi Tengah",2020,12.92,3.77,2985700,66306
"Sulawesi Selatan",2020,8.72,6.31,9073500,55675
"Sulawesi Tenggara",2020,11,4.58,2624900,49718
Gorontalo,2020,15.22,4.28,1171700,35693
"Sulawesi Barat",2020,10.87,3.32,1419200,32837
Maluku,2020,17.44,7.57,1848900,25094
"Maluku Utara",2020,6.78,5.15,1282900,33069
"Papua Barat",2020,21.37,6.8,1134100,73933
Papua,2020,26.64,4.28,4303700,46416
Aceh,2021,15.33,6.3,5333700,34674
"Sumatera Utara",2021,9.01,6.33,14936200,57442
"Sumatera Barat",2021,6.63,6.52,5580200,45218
Riau,2021,7.12,4.42,6493600,129741
Jambi,2021,8.09,5.09,3585100,64771
"Sumatera Selatan",2021,12.84,4.98,8550900,57745
Bengkulu,2021,15.22,3.65,2032900,39167
Lampung,2021,12.62,4.69,9081800,40807
"Kepulauan Bangka Belitung",2021,4.9,5.03,1473200,58406
"Kepulauan Riau",2021,6.12,9.91,2118200,131884
"DKI Jakarta",2021,4.72,8.5,10609700,274660
"Jawa Barat",2021,8.4,9.82,48782400,45234
"Jawa Tengah",2021,11.79,5.95,36742500,38568
"DI Yogyakarta",2021,12.8,4.56,3712900,40516
"Jawa Timur",2021,11.4,5.74,40878800,59988
Banten,2021,6.66,8.98,12061500,55383
Bali,2021,4.53,5.37,4362700,50758
"Nusa Tenggara Barat",2021,14.14,3.01,5390000,26009
"Nusa Tenggara Timur",2021,20.99,3.77,5387700,20555
"Kalimantan Barat",2021,7.15,5.82,5470800,42253
"Kalimantan Tengah",2021,5.16,4.53,2702200,62834
"Kalimantan Selatan",2021,4.83,4.95,4122600,48066
"Kalimantan Timur",2021,6.54,6.83,3808200,183158
"Kalimantan Utara",2021,7.36,4.58,713600,157092
"Sulawesi Utara",2021,7.77,7.06,2638600,54034
"Sulawesi Tengah",2021,13,3.75,3021900,82017
"Sulawesi Selatan",2021,8.78,5.72,9139500,59503
"Sulawesi Tenggara",2021,11.66,3.92,2659200,52436
Gorontalo,2021,15.61,3.01,1181000,37087
"Sulawesi Barat",2021,11.29,3.13,1436800,35195
Maluku,2021,17.87,6.93,1862600,26153
"Maluku Utara",2021,6.89,4.71,1299200,40381
"Papua Barat",2021,21.84,5.84,1156800,74022
Papua,2021,26.86,3.33,4355400,54051
Aceh,2022,14.64,6.17,5407900,38767
"Sumatera Utara",2022,8.42,6.16,15115200,62922
"Sumatera Barat",2022,5.92,6.28,5640600,50264
Riau,2022,6.78,4.37,6614400,151259
Jambi,2022,7.62,4.59,3631100,76224
"Sumatera Selatan",2022,11.9,4.63,8657000,68239
Bengkulu,2022,14.62,3.59,2060100,43757
Lampung,2022,11.57,4.52,9176600,44982
"Kepulauan Bangka Belitung",2022,4.45,4.77,1494600,63866
"Kepulauan Riau",2022,6.24,8.23,2179800,145530
"DKI Jakarta",2022,4.69,7.18,10680000,299675
"Jawa Barat",2022,8.06,8.31,49405800,49137
"Jawa Tengah",2022,10.93,5.57,37032400,41934
"DI Yogyakarta",2022,11.34,4.06,3761900,44639
"Jawa Timur",2022,10.38,5.49,41150000,66248
Banten,2022,6.16,8.09,12252000,61414
Bali,2022,4.57,4.8,4415100,56093
"Nusa Tenggara Barat",2022,13.68,2.89,5473700,28671
"Nusa Tenggara Timur",2022,20.05,3.54,5466300,21658
"Kalimantan Barat",2022,6.73,5.11,5541400,46092
"Kalimantan Tengah",2022,5.28,4.26,2741100,72973
"Kalimantan Selatan",2022,4.49,4.74,4182100,60213
"Kalimantan Timur",2022,6.31,5.71,3859800,238917
"Kalimantan Utara",2022,6.77,4.33,727800,192588
"Sulawesi Utara",2022,7.28,6.61,2659500,59021
"Sulawesi Tengah",2022,12.33,3,3066100,106068
"Sulawesi Selatan",2022,8.63,4.51,9225800,65353
"Sulawesi Tenggara",2022,11.17,3.36,2701700,58715
Gorontalo,2022,15.42,2.58,1192700,39691
"Sulawesi Barat",2022,11.75,2.34,1458600,37034
Maluku,2022,15.97,6.88,1881700,28537
"Maluku Utara",2022,6.23,3.98,1319300,53776
"Papua Barat",2022,21.33,5.37,1183300,78141
Papua,2022,26.56,2.83,4418600,59384
Aceh,2023,14.45,6.03,5482500,41408
"Sumatera Utara",2023,8.15,5.89,15386600,68306
"Sumatera Barat",2023,5.95,5.94,5757200,54334
Riau,2023,6.68,4.23,6642900,154522
Jambi,2023,7.58,4.53,3679200,79873
"Sumatera Selatan",2023,11.78,4.11,8743500,71958
Bengkulu,2023,14.04,3.42,2086000,46301
Lampung,2023,11.11,4.23,9314000,48188
"Kepulauan Bangka Belitung",2023,4.52,4.56,1511900,67813
"Kepulauan Riau",2023,5.69,6.8,2152600,154065
"DKI Jakarta",2023,4.44,6.53,10672100,322651
"Jawa Barat",2023,7.62,7.44,49860300,52651
"Jawa Tengah",2023,10.77,5.13,37541000,45162
"DI Yogyakarta",2023,11.04,3.69,3736500,48373
"Jawa Timur",2023,10.35,4.88,41527900,71122
Banten,2023,6.17,7.52,12307700,66147
Bali,2023,4.25,2.69,4404300,62299
"Nusa Tenggara Barat",2023,13.85,2.8,5560300,29926
"Nusa Tenggara Timur",2023,19.96,3.14,5569100,23079
