province,poverty_2020,poverty_2025,improvement
Papua,26.64,19.16,7.48
Bengkulu,15.03,12.08,2.95
Aceh,14.99,12.33,2.66
"Sumatera Selatan",12.66,10.15,2.51
Lampung,12.34,10,2.34
"Nusa Tenggara Timur",20.9,18.6,2.3
"Nusa Tenggara Barat",13.97,11.78,2.19
Maluku,17.44,15.38,2.06
"DI Yogyakarta",12.28,10.23,2.05
"Sulawesi Tengah",12.92,10.92,2
Gorontalo,15.22,13.24,1.98
"Jawa Tengah",11.41,9.48,1.93
"Jawa Timur",11.09,9.5,1.59
"Kepulauan Riau",5.92,4.44,1.48
"Sumatera Utara",8.75,7.36,1.39
"Kalimantan Utara",6.8,5.54,1.26
"Sulawesi Selatan",8.72,7.6,1.12
"Kalimantan Barat",7.17,6.16,1.01
"Maluku Utara",6.78,5.81,0.97
"Sumatera Barat",6.28,5.35,0.93
"Kalimantan Timur",6.1,5.17,0.93
"Sulawesi Utara",7.62,6.71,0.91
"Jawa Barat",7.88,7.02,0.86
"Papua Barat",21.37,20.66,0.71
Riau,6.82,6.16,0.66
"Kalimantan Selatan",4.38,3.84,0.54
"Sulawesi Tenggara",11,10.54,0.46
"Sulawesi Barat",10.87,10.41,0.46
Jambi,7.58,7.19,0.39
Banten,5.92,5.63,0.29
"DKI Jakarta",4.53,4.28,0.25
Bali,3.78,3.72,0.06
"Kalimantan Tengah",4.82,5.19,-0.37
"Kepulauan Bangka Belitung",4.53,5,-0.47
